Greek,English,Source
Ανάκληση,Recall,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Αναφορά,Reference,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Αξιολόγηση Μηχανικής Μετάφρασης,Machine Translation Evaluation,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Αρχιτεκτονικές Παράλληλης και Διανεμημένης Επεξεργασίας,Parallel Distributed Processing,"Αναγνώριση Προτύπων, Μιχάλη-Γερασίμου Στρίντζη"
Βάρος,Weight,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Γραμμική Παρεμβολή,Linear Regression,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Δένδρα ταξινόμησης ή απόφασης,Classification or Decision Trees,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Δίκτυο Αντίθετης Μετάδοσης,Counter Propagation,"Αναγνώριση Προτύπων, Μιχάλη-Γερασίμου Στρίντζη"
Δίκτυο Αντίστροφης Μετάδοσης,Back Propagation,"Αναγνώριση Προτύπων, Μιχάλη-Γερασίμου Στρίντζη"
Εγγραφή,Record,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Επίπεδο,Layer,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Επίπεδο εισόδου,Input Layer,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Επίπεδο εξόδου,Output Layer,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Εποχή,Epoch,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Κόμβος,Node,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Κρυφό επίπεδο,Hidden Layer,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Κωδικοποίηση,encoding,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Λεξικό,Dictionary,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Μάθηση Εννοιών,Concept Learning,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Μάθηση Κανόνων,Rule Learning,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Μάθηση κατά Bayes,,
Μάθηση Κατά Περίπτωση,Instance Based Learning,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Μάθηση με επίβλεψη,Supervised Learning,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Μάθηση χωρίς επίβλεψη,Unsupervised Learning,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Μηχανές Διανυσμάτων Υποστήριξης,Support Vector Machines,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Νευρώνας,Neuron,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Νευρωνικά Δίκτυα,Neural Networks,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Ομοιότητα Συνημιτόνου,Cosine Similarity,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Παράγοντας προδιάθεσης,Bias,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Παράμετρος,Variable,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Πίνακας,Array,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Πόλωση,Bias,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Πρόσθια Τροφοδότηση,Feed forward,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Σετ δεδομένων,Dataset,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Στοιχειώδες perceptron,Elementary Perceptron,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Στρώμα,Layer,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Συνάρτηση Ενεργοποίησης,Activation Function,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Συνάρτηση Στόχος,Target Function,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Τεχνητά Νευρωνικά Δίκτυα,Artificial Neural Networks,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Υπερπροσαρμογή ,Overfitting,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Υποπροσαρμογή / Aτελής μάθηση ,Underfitting,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
Υποψήφιος,Candidate,"Τεχνητή Νοημοσύνη, Γ Έκδοση, Βλαχαβάς, Κεφαλάς, Βασιλειάδης, Κόκκορας, Σακελαρρίου"
